gene,mean_in,mean_out,mean_diff,p_fisher,dep_frac_in,dep_frac_out,t_stat,p_ttest,p_wilcoxon
NUP50,-0.7675408661155417,-0.5539381243582389,-0.21360274175730287,0.24704051643501648,0.8125,0.39932885906040266,-2.799101273389168,0.059637906470307936,0.02677307310502569
SPNS1,-0.4200086133955885,-0.28921302439068797,-0.13079558900490051,0.24704051643501648,0.375,0.07718120805369127,-2.3650177957166667,0.12575102060439802,0.5309324087376792
PTCD1,-0.6026912557600648,-0.3826224013165654,-0.22006885444349938,0.25872078620489014,0.5625,0.18875838926174496,-3.635520130115328,0.009181732162014771,0.02198841821373264
UBE2D3,-1.3209460264742057,-0.8189233475117171,-0.5020226789624885,0.2811547623657454,1.0,0.6535234899328859,-4.161093959236755,0.002231441153212648,0.0031148904432959836
HROB,-0.34989507053134805,-0.20187486187698575,-0.1480202086543623,0.3177913148886238,0.1875,0.012583892617449664,-3.9268271903681082,0.0042304961632545265,0.034891180658968214
MAD2L1BP,-0.7382925545987081,-0.4985186620183956,-0.2397738925803125,0.3177913148886238,0.6875,0.29278523489932884,-3.572342341847724,0.011178115520454092,0.02181772460964835
ARSA,-0.31381556322765874,-0.18302319004173553,-0.1307923731859232,0.3177913148886238,0.1875,0.012583892617449664,-2.867897537283627,0.052904602224751685,0.18659837627214634
CHP1,-0.465827845620962,-0.19020697523441804,-0.275620870386544,0.32059272279077805,0.25,0.030201342281879196,-4.836245747132676,0.00022932021364036,0.004247276004872302
ATRX,-0.4712217257042506,-0.20079440092113487,-0.2704273247831157,0.3598072944308006,0.3125,0.05536912751677853,-4.605317820991263,0.0005243758322121673,0.00605697540569221
FKBP1A,-0.5802852399854099,-0.32866293892438214,-0.2516223010610278,0.37405685645529785,0.4666666666666667,0.1298449612403101,-3.6376811750564806,0.009181732162014771,0.020760158899664576
FANCF,-0.5477319277491961,-0.2941638473085704,-0.2535680804406257,0.37405685645529785,0.375,0.08640939597315436,-4.260919816428502,0.0016168263606138687,0.04694263439614029
ACTR5,-0.5864240162783506,-0.30338801281429434,-0.2830360034640563,0.37405685645529785,0.4375,0.12080536912751678,-4.2736781390300065,0.0016117780493245704,0.013480705409022646
UBE2C,-1.0282002281545375,-0.665345464836778,-0.36285476331775945,0.37405685645529785,0.9375,0.5704697986577181,-4.505042229204595,0.0007449952457398234,0.0020603995551654423
HSPA14,-0.6907837723602335,-0.3978258612106318,-0.2929579111496017,0.37405685645529785,0.625,0.2483221476510067,-3.422399827356353,0.016685580050208117,0.007818599480829812
UBE2O,-0.46587778479434233,-0.324073173710269,-0.14180461108407333,0.37405685645529785,0.3125,0.05620805369127517,-3.3319995045844775,0.02077864515322398,0.036700239207491714
RAD23B,-0.30324532019646316,-0.16025194882631708,-0.1429933713701461,0.392634622398299,0.1875,0.014261744966442953,-3.514004517266331,0.012892654481608437,0.10833834835923263
SLX4,-0.447050948599351,-0.2675797827252084,-0.17947116587414264,0.396099450354207,0.3125,0.057885906040268456,-3.6398427728754807,0.009093334060209356,0.02909271272929393
VDAC1,-0.7616674596899665,-0.614600655078531,-0.1470668046114355,0.3998815664473944,0.875,0.4949664429530201,-2.609589727756399,0.08424723398666913,0.049629451653858965
NOLC1,-0.7436715513550916,-0.5788566463210548,-0.16481490503403673,0.4009504036639777,0.8125,0.42533557046979864,-2.7893642120368516,0.060768699304924303,0.053684932413192075
FGFR1,-0.4444144395407592,-0.18074628756231953,-0.2636681519784397,0.4029190610559504,0.375,0.08892617449664429,-2.9614334960670115,0.04403379545772563,0.30428656664220244
RBSN,-0.5822128297200047,-0.3291109073492165,-0.25310192237078816,0.4029190610559504,0.5,0.16275167785234898,-3.7287903560556463,0.007329106212452356,0.017059954058603957
RNASEH2A,-0.5539919672376865,-0.33603735377462307,-0.21795461346306344,0.421230331007088,0.5,0.1644295302013423,-3.028381221312343,0.03822421940202916,0.042286618619646374
INO80C,-0.3492518479284783,-0.1256254260065617,-0.2236264219219166,0.421230331007088,0.1875,0.015100671140939598,-4.526730894453891,0.0006968888002330814,0.01106659977773987
WASHC2C,-0.7496453120981101,-0.5593546584270721,-0.19029065367103803,0.4295700376054872,0.8,0.40347826086956523,-2.5950544931869532,0.08626892894254681,0.049629451653858965
PLD4,-0.14094259525399838,-0.0038634060341370758,-0.1370791892198613,0.44165777614696927,0.125,0.003355704697986577,-3.6938582657895815,0.00819495925194884,0.12112470919286555
BECN1,-0.45516711922867253,-0.22271924438651652,-0.232447874842156,0.44165777614696927,0.25,0.03523489932885906,-4.841713388513867,0.0002269987912144366,0.0031148904432959836
CIB1,-0.1073698312608051,0.032614936722268464,-0.13998476798307358,0.44165777614696927,0.125,0.003355704697986577,-3.077950978013357,0.03419767744428527,0.2136314511400839
SETX,-0.388175052705677,-0.24159144214711625,-0.14658361055856073,0.45983682808665527,0.1875,0.015939597315436243,-3.6858491770183552,0.008275172319584691,0.04577035786759327
DAXX,-0.5951597182207797,-0.3715169962285345,-0.22364272199224522,0.5483596892891417,0.5,0.17365771812080538,-3.2187979840840195,0.025897379842618324,0.07364941263272133
CD2BP2,-0.6417426787248558,-0.4320227462832785,-0.20971993244157727,0.5483596892891417,0.5625,0.2181208053691275,-3.5603041345635797,0.011379767068011297,0.01597743175720911
CCP110,-0.4385427182243398,-0.30786742422898267,-0.13067529399535716,0.5483596892891417,0.3125,0.06459731543624161,-2.7469423154206862,0.06646143413647142,0.21538923720982342
TEDC2,-0.5817346297829655,-0.38020157305305335,-0.20153305672991217,0.5517782212765944,0.5625,0.22063758389261745,-2.773556525367565,0.06295603841110803,0.049553952073447365
P3H1,-0.39974472566293084,-0.2848247197500986,-0.11492000591283225,0.5517782212765944,0.3125,0.06543624161073826,-2.09175781594474,0.19112664219378808,0.2695393351899602
MMP25,-0.23520840344197427,-0.1584045842671903,-0.07680381917478396,0.5517782212765944,0.125,0.0041946308724832215,-2.2143965931971614,0.16203317565705602,0.6709144448065866
KLHDC3,-0.18357384132677804,-0.03917128876516118,-0.14440255256161685,0.5517782212765944,0.125,0.0041946308724832215,-3.3144428367396634,0.021344327969498065,0.6205372770931725
ATN1,-0.24792193791919173,-0.1302498249804005,-0.11767211293879123,0.5517782212765944,0.125,0.0041946308724832215,-3.030481844367876,0.03802419863516359,0.2748305769962028
DMRTB1,-0.1771431494125619,-0.09917739551294891,-0.077965753899613,0.5517782212765944,0.125,0.0041946308724832215,-1.8619136532001186,0.26136586506560494,0.65262502283793
BCDIN3D,-0.37079615890004186,-0.2933442565519514,-0.07745190234809046,0.5517782212765944,0.25,0.03859060402684564,-1.8538158201200177,0.26318214114422617,0.5294539525032415
DNAJC11,-0.9364511666888059,-0.6446650161549448,-0.29178615053386114,0.557212891712601,0.875,0.5176174496644296,-2.788831959836151,0.060793225780340264,0.04484921447971294
CDAN1,-1.38208905784114,-1.0094878194971337,-0.37260123834400627,0.5750762089060956,1.0,0.700503355704698,-2.325444247941417,0.13422182017842468,0.08804127531303048
