indication,gene,n_cell_lines,mean_score_indication,mean_score_other,delta_mean,dep_frac_indication,dep_frac_other,p_fisher,p_ttest,p_wilcoxon,consensus_type
Ewing Sarcoma,ETV6,28,-0.4613738799588,0.007938127927226259,-0.4693120078860263,0.39285714285714285,0.002542372881355932,2.413822574807379e-13,3.4705024019289772e-40,2.5365957981336205e-08,3-test
Ewing Sarcoma,STAG1,28,-0.852707183686993,-0.15650780695093922,-0.6961993767360538,0.5,0.038135593220338986,7.933971385239502e-09,7.433458788341846e-39,2.8150146099658513e-10,3-test
"Glioblastoma, IDH-Wildtype",CTDNEP1,50,-0.7877661880265613,-0.43936099537042206,-0.34840519265613923,0.8,0.24352331606217617,2.0516765325642926e-11,2.0177288995191493e-16,5.0516326470153326e-11,3-test
"Glioblastoma, IDH-Wildtype",PRKAR1A,50,-0.6319659372521951,-0.18098362387351447,-0.4509823133786806,0.54,0.09153713298791019,1.2563844278301073e-10,1.0656226698280866e-22,2.427159924787986e-13,3-test
"Glioblastoma, IDH-Wildtype",RPP25L,50,-0.9743036815014549,-0.4466381164379217,-0.5276655650635331,0.78,0.26424870466321243,1.0238746807545294e-09,1.1265064057681548e-13,6.087063274264234e-11,3-test
"Glioblastoma, IDH-Wildtype",JUN,50,-0.6757599231236397,-0.26703710149790133,-0.4087228216257384,0.52,0.12089810017271158,1.8776462889900823e-07,2.478941100125948e-16,1.5917245787448642e-10,3-test
"Glioblastoma, IDH-Wildtype",LMNA,50,-0.5775642722924712,-0.22841772581993675,-0.34914654647253446,0.38,0.05699481865284974,2.860142551345813e-07,1.8550831143975215e-19,7.706123640563001e-09,3-test
"Glioblastoma, IDH-Wildtype",FERMT2,50,-1.2070389121757024,-0.6672149808523244,-0.5398239313233779,0.86,0.4231433506044905,1.0728248930065773e-06,2.0861858100252126e-07,3.394678061465576e-07,3-test
Hepatocellular Carcinoma,XYLT2,21,-0.64694058622655,-0.3348650859012923,-0.3120755003252577,0.5714285714285714,0.11878685762426285,0.02143248174983025,3.54178876779713e-05,0.08380522463649295,3-test
High-Grade Serous Ovarian Cancer,PAX8,18,-0.944955404683341,-0.17510201469327624,-0.7698533899900648,0.6111111111111112,0.05798319327731093,2.1362267097680385e-05,6.272936703989445e-18,0.0050264328182474454,3-test
"Immortalized Epithelial Cells, Prostate",UBE3A,4,-0.8896184890165824,-0.08901366295926214,-0.8006048260573202,1.0,0.014950166112956811,0.0014737360871084054,6.0923061894299e-15,0.0004889620619838826,2-test (N<10)
"Immortalized Epithelial Cells, Retinal",WDR89,5,-1.1485584139468126,-0.16304049504454385,-0.9855179189022687,1.0,0.020781379883624274,0.00011922904219329872,5.75311967483851e-31,6.433913901635491e-07,2-test (N<10)
"Immortalized Epithelial Cells, Retinal",HMGXB3,5,-0.6835172986023823,-0.1181216217371162,-0.5653956768652662,0.8,0.011637572734829594,0.0015268907578494598,1.3635553792737423e-08,8.686417238203245e-05,2-test (N<10)
"Immortalized Epithelial Cells, Retinal",GNL1,5,-0.6605061407258744,-0.2111438709903204,-0.44936226973555404,0.8,0.014131338320864505,0.0019869398649507474,1.9077751428034114e-08,0.00013798266017118858,2-test (N<10)
Invasive Breast Carcinoma,FOXA1,19,-1.2795950449002211,-0.15222061756487654,-1.1273744273353445,0.631578947368421,0.03280067283431455,6.066145022049837e-09,6.082950081113272e-54,0.009391717598132438,3-test
Invasive Breast Carcinoma,SPDEF,19,-0.7068564468344005,0.05400179644946472,-0.7608582432838652,0.42105263157894735,0.00672834314550042,7.432818328106275e-08,1.8190562782941783e-52,0.0201703187261302,3-test
Invasive Breast Carcinoma,GRHL2,19,-0.6154731377061294,-0.15960265336421642,-0.455870484341913,0.47368421052631576,0.060555088309503784,0.004228891505039724,3.8769001929455295e-11,0.05115801952622448,3-test
Invasive Breast Carcinoma,GATA3,19,-0.6239531519705108,-0.13983728180903282,-0.484115870161478,0.42105263157894735,0.04205214465937763,0.004228891505039724,5.28631278688262e-11,0.05115801952622448,3-test
Lung Adenocarcinoma,UXS1,53,-0.8080484979485271,-0.4110606892325787,-0.39698780871594835,0.6226415094339622,0.2,1.0511275259500493e-06,1.0475006335612597e-09,0.00025047279410072247,3-test
Melanoma,BRAF,55,-1.1779466889156747,-0.1320109825866066,-1.0459357063290682,0.7818181818181819,0.03816131830008673,2.544262383484134e-39,4.291813653220695e-119,1.8131295359125135e-21,3-test
Melanoma,SOX10,55,-1.7378590966439835,-0.32998250678250807,-1.4078765898614756,0.8545454545454545,0.06418039895923677,5.578449557582176e-39,1.826838644091131e-148,1.9763832454602586e-21,3-test
Melanoma,DUSP4,55,-0.7972728688152434,-0.010247967570044732,-0.7870249012451986,0.5454545454545454,0.02515177797051171,6.230288592426084e-25,7.120150153032788e-83,8.35284769643241e-18,3-test
Melanoma,MAPK1,55,-0.8561598185548788,-0.17100357739877028,-0.6851562411561085,0.6545454545454545,0.055507372072853424,6.230288592426084e-25,1.0796764154296709e-52,9.595642640081516e-16,3-test
Melanoma,ZEB2,55,-0.8221039025063275,-0.33593748979104787,-0.4861664127152796,0.6727272727272727,0.12749349522983522,1.0259815146064904e-15,7.084387169926635e-26,4.9945959999879896e-12,3-test
Melanoma,PPP2R2A,55,-0.7139681911538397,-0.22296190048776482,-0.4910062906660749,0.6,0.11014744145706852,1.3834862648476704e-13,1.088448334031968e-24,1.466437065645063e-16,3-test
Melanoma,PEA15,55,-0.38426477409768856,-0.03280522831664058,-0.351459545781048,0.2545454545454545,0.006071118820468344,5.452583946268231e-12,1.2577554879183065e-40,1.5466516602952293e-11,3-test
Neuroblastoma,ISL1,41,-0.8341712086198431,-0.03219005824642438,-0.8019811503734187,0.6097560975609756,0.003427592116538132,7.573300307372596e-33,3.03167242387397e-126,6.245355829735503e-13,3-test
Neuroblastoma,HAND2,41,-0.4847714831663288,0.06677597429617856,-0.5515474574625073,0.36585365853658536,0.0,4.901399324423931e-20,7.986462605506949e-116,1.8677008750345853e-18,3-test
Neuroblastoma,LDB1,41,-0.901683114895063,-0.25780110064975625,-0.6438820142453068,0.7317073170731707,0.09511568123393316,2.1654218591517665e-17,6.513467068906822e-31,6.245355829735503e-13,3-test
Neuroblastoma,GATA3,41,-0.7031754864368767,-0.1279275432857479,-0.5752479431511288,0.43902439024390244,0.03427592116538132,2.7409834220712997e-11,4.906211001041652e-38,2.8614918590702103e-11,3-test
Oral Cavity Squamous Cell Carcinoma,TP63,53,-0.6965231375142267,-0.056319763449077534,-0.6402033740651492,0.6415094339622641,0.05541125541125541,1.4496991687376941e-22,2.0156993627122852e-47,1.2443461332498515e-16,3-test
Oral Cavity Squamous Cell Carcinoma,ITGB1,53,-0.7286617069634085,-0.18323535958872345,-0.545426347374685,0.6037735849056604,0.10909090909090909,7.824658983808464e-13,3.85485850216468e-21,9.085019232068825e-13,3-test
