gene,pearson_r,p_value
BCOR,0.1240779466802178,1.527071263044086e-05
FAM162B,0.12382442183772478,1.5899602569475854e-05
TBX6,0.12376884665689515,1.6040718993380433e-05
NDUFB11,0.12367013246578032,1.629431867405732e-05
COQ3,0.12366536627408786,1.6306659245572997e-05
SPACA6,0.12365668284420035,0.30778615878331983
PGRMC2,0.12322735433940385,1.7479527940427835e-05
NDUFB7,0.12318484305306383,1.7597540034859324e-05
RNF43,0.1230766129418694,1.790142074309554e-05
BMP4,0.12306781845201423,1.7926331417173633e-05
B4GALNT3,0.12304318699110037,1.7996276502316084e-05
BCAT2,0.12295454504404037,1.825014483954644e-05
SPATA31A7,0.1229462099785444,6.69997461674433e-05
MRPS22,0.12290783458149866,1.8385289665912873e-05
PLK4,0.1228758074493835,1.847850167655923e-05
C10orf88,0.12275187974607236,1.884343511939833e-05
MADCAM1,0.12262295708984332,1.9230348489908375e-05
PIP5KL1,0.12253471303732943,1.9499524043853214e-05
SEMA4C,0.12222633337077933,2.046861214941356e-05
BICRA,0.12222582195967102,2.047025666622012e-05
RBMXL2,0.12218393107169531,2.060539040854115e-05
WDR20,0.12213712729688103,2.0757375676094438e-05
NDUFA13,0.1220853174582156,2.0926860039798953e-05
ZNF674,0.12207844469015826,2.0949441377772326e-05
FIBIN,0.12205201746268293,2.1036487353683058e-05
DNASE1L1,0.12204231513267773,2.1068531099274607e-05
MTNR1B,0.12200783722245194,2.118277670320167e-05
NDUFA8,0.1218776187483212,2.161960322398828e-05
PRKCG,0.12164309883887452,2.2428001265241922e-05
GPR6,0.12159736910120615,2.2588945161547987e-05
SLC30A9,0.12153498756872691,2.2810265307436732e-05
PPP1R3B,0.1214457168385904,2.3130572140668708e-05
FBXO10,0.12132955582009687,2.3553766247196007e-05
ING1,0.12127318779891598,2.3761766272446718e-05
SVIL,0.12118896735048718,2.4075797923032032e-05
FUT7,0.12118759165150744,2.4080960060849626e-05
MRPL39,0.12103079385866848,2.4676265545582277e-05
CD8B,0.12099080623491575,0.3044858407983347
CFAP73,0.12085205935400116,2.5371907254517798e-05
PTPN6,0.12077182269631263,2.5690214161601305e-05
RRN3,0.12074867245955684,0.018538061710879072
CORO2B,0.12062105517894676,2.6298612349454988e-05
GFM1,0.12059951569381502,2.6386640743269814e-05
PHF24,0.12059347246112817,2.6411388689899147e-05
ACTBL2,0.12053115271733543,2.6667886623152023e-05
IGSF8,0.12049861701654546,2.6802736546100046e-05
ZNF611,0.12036190361173305,2.737647966185355e-05
RILPL2,0.12035553564066054,2.7403486300930435e-05
PPDPF,0.12032787214270664,2.7521101475474053e-05
ANKFN1,0.12025482438695616,2.7833982588946883e-05
EGR1,0.12020933439520794,2.8030530696973706e-05
THBS2,0.12012660529750423,2.8391359749717147e-05
MRPL55,0.12010017937186808,2.8507544721475632e-05
ATP5F1A,0.11994195661011814,2.921269017965438e-05
ARHGEF40,0.11974071093782351,3.013351644251911e-05
MDK,0.1197312543130423,3.017745718920155e-05
TREML1,0.11971732948499016,3.024227042523563e-05
DZIP3,0.11963113642916512,3.064640638007352e-05
FAM193B,0.11960693568680555,3.076079552011962e-05
AUNIP,0.11958307562272139,3.08739710179262e-05
CNTNAP3B,0.11956875775204713,4.287078620379148e-05
RYK,0.11955468958455992,0.3103042156782547
APOC3,0.11954160836103826,3.1071603605311866e-05
SURF1,0.11951416318329737,3.120306672874199e-05
SRRD,0.11949495076390733,3.129540863847621e-05
MARCHF8,0.11935763264351523,7.808023694725066e-05
AHCY,0.11934097464198673,3.2044899016396646e-05
MYD88,0.11933857053662324,3.205673512519981e-05
C19orf12,0.11932250470849831,3.213593841827808e-05
NSG1,0.11928218455844979,3.2335532244564456e-05
CEND1,0.11921981805026317,3.264657897417371e-05
SLAMF7,0.11912950801569824,3.310202710490686e-05
PCDHGA3,0.11895462566922076,3.4001180870267347e-05
AMELY,0.11892759093030769,0.019905765412556918
ZFAT,0.11888501871904508,3.4365469719895955e-05
CEBPA,0.11887842997924647,3.4400143125104e-05
VARS2,0.1188457878665638,3.457241305453461e-05
ATIC,0.11883075716690181,3.465201298070376e-05
IQCD,0.118783824844023,3.490167858477517e-05
ACO2,0.11874175840957119,3.5126908303946924e-05
HDC,0.11871776062101537,3.525601272924076e-05
DAZAP2,0.11858553181211817,3.597549349576077e-05
COX5B,0.11857247188211761,3.6047305603524876e-05
WNT10A,0.11852485351595755,3.631029593537601e-05
TEX28,0.11830292942059088,0.3154338978124883
MGLL,0.11825822680388917,3.78167823465067e-05
TNFSF13B,0.11812848211719262,3.8571117563363464e-05
RHNO1,0.11812767240774286,3.857586969339434e-05
XRCC2,0.11811774463378341,3.8634180268483195e-05
MRPL11,0.11809472020118343,3.876973557088964e-05
INCA1,0.11804057020157203,3.909032057373327e-05
ACTL9,0.11803350970147503,3.913230566528852e-05
DCAF11,0.11801916593130428,3.921773221318811e-05
DDX28,0.11784684551059721,4.025792934640734e-05
PAICS,0.11782735125959494,4.03772375379865e-05
GPHB5,0.11780955341073918,0.3174706367164317
EME1,0.1176428283937035,4.1523269532327184e-05
COX20,0.11762077449781512,4.1662285681574705e-05
EMC8,0.11759953671722186,4.179657423938439e-05
NARS2,0.11754302424166323,4.215590881370435e-05
INO80C,0.11752668375823148,4.226035412888751e-05
CNN2,0.117523010639213,4.2283865749223526e-05
IL24,0.1173980480561406,4.309117464010317e-05
GPR156,0.1173730169499898,4.3254631701005954e-05
ALCAM,0.11727240083446876,4.3917616240690766e-05
ATP5MGL,0.11717427069349062,4.457348467344692e-05
RNF187,0.11709785469761107,0.31047912547547163
